"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"CRYSTAL-SMD-5X3";1;"12.288MHz";;;
2;"U$12";"SC70";1;"1.8V";;;
3;"U$2";"SC70";1;"2.8V";;;
4;"U2";"LQFP-48";1;"VS1053";;;
5;"U1";"SOT23-5";1;"3.3V";;;
6;"R17,R16,R15,R14,R11,R10,R5,R4,R3,R2";"0402-RES";10;"100k";;;
7;"R13,R12";"0402-RES";2;"470";;;
8;"R9,R6";"0402-RES";2;"20";;;
9;"R8";"0402-RES";1;"330";;;
10;"R7";"0402-RES";1;"10";;;
11;"R1";"0402-RES";1;"1M";;;
12;"LED1";"LED-0603";1;"Power";;;
13;"JP4";"SJ_2S";1;"JUMPER";;;
14;"JP3";"1X07";1;"M07";;;
15;"JP2,JP1";"1X10";2;"M10"";;;
16;"C24,C23,C12,C10";"0402-CAP";4;"10nF";;;
17;"C22,C21,C20,C19,C18,C17,C16,C15,C14,C13";"0402-CAP";10;"100nF";;;
18;"C11";"0402-CAP";1;"47nF";;;
19;"C9,C7,C5,C2";"0402-CAP";4;"0.1uF";;;
20;"C8,C3";"0402-CAP";2;"18pF";;;
21;"C6,C4,C1";"EIA3216";3;"10uF";;;
